sim,class,acc
1,NEG,0.458333
1,COR,0.760417
1,MLM,0.885417
2,NEG,0.493976
2,COR,0.795181
2,MLM,0.951807
3,NEG,0.53012
3,COR,0.807229
3,MLM,0.831325
4,NEG,0.336449
4,COR,0.691589
4,MLM,0.897196
