sim,class,acc
1,NEG,0.541667
1,COR,0.333333
1,MLM,0
2,NEG,0.506024
2,COR,0.269231
2,MLM,0
3,NEG,0.46988
3,COR,0.25
3,MLM,0.03125
4,NEG,0.663551
4,COR,0.477612
4,MLM,0.0967742
